ID,Category,Role,Test Scenario / Metric View,Expected Result / Acceptance Criteria
UAT-SUB-001,Submission,User,Basic Request Submission: User submits email and detailed message via form.,System displays success message. User receives email confirmation. Draft Ticket created in system.
UAT-SUB-002,Access,User,"Google Login: User selects ""Continue with Google"" on login page.",User is registered/logged in automatically and redirected to ticket tracking view.
UAT-AI-001,AI Features,System,AI Draft Analysis: System processes a new complex user request.,"AI automatically populates a relevant Title, Category, Summary, and Resolution Path."
UAT-AI-002,AI Features,System,"AI Routing: System processes a request related to a specific topic (e.g., ""Database"").","AI suggests an Assignee with a matching scope (e.g., ""IT Operations"")."
UAT-CON-001,Management,Admin,Mass Request Consolidation: 3 Users submit identical requests.,System recommends merging requests. Admin can merge them into one Draft Ticket with all users listed as Followers.
UAT-ADM-003,Management,Admin,"Draft Review & Activation: Admin edits AI fields, sets deadline, and clicks ""Submit"".",Ticket status changes from 'Draft' to 'New'. Ticket appears in the Assignee's active queue.
UAT-WF-002,Workflow,Assignee,Status Progression: Assignee moves ticket through New → Assigned → Solving → Failed.,System records every status change in the History log with timestamps and user ID.
UAT-COM-001,Collaboration,Assignee,Internal vs. Public Comments: Assignee adds one internal and one public comment.,User sees only the public comment. Admin/Staff see both comments.
REP-ADM-001,Reporting,Admin,Global Dashboard View: Admin views the main reports page.,"Dashboard summarizes Total Ticket Volume, Resolution Times, and Current Backlogs."
REP-ADM-002,Reporting,Admin,"Trend Analysis: Admin filters report by ""Last 30 Days"".",Dashboard displays Top Categories and volume trends for that period.
REP-ASG-001,Reporting,Assignee,Workload Dashboard: Assignee views their main landing page.,Default view shows tickets assigned to them (excluding Solved/Failed). List is sortable by Urgency/Deadline.
REP-ASG-002,Reporting,Assignee,Personal Performance: Assignee views their personal stats.,"Dashboard displays personal metrics, such as Total Tickets Solved by this specific assignee."
UAT-NF-004,UX,All,Mobile Responsiveness: Access system via smartphone (360px width).,Interface is fully responsive; forms and reports are usable without horizontal scrolling.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,Summary of Dashboard Requirements,,
,,"Admin Dashboard: Must provide a high-level overview of system health (Volume, Speed, Backlog) to help identify process bottlenecks",,
,,"Assignee Dashboard: Must be action-oriented, prioritizing active work by deadline and showing personal contribution metrics.",,
